mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
3.861794185638428,0.011130808279864847,0.0031063079833984373,0.006212615966796875,0.9,500,2,4,5,0.01,"{'subsample': 0.9, 'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 5, 'learning_rate': 0.01}",0.5964912280701754,0.6440677966101694,0.5333333333333333,0.48148148148148145,0.4444444444444444,0.5399636567879208,0.07296723125842772,22,0.966542750929368,0.9588014981273408,0.9548872180451128,0.9626865671641791,0.9743589743589743,0.963455401724995,0.0066945248994169735
2.3299138069152834,0.02188343510328318,0.008460807800292968,0.00598925175564566,0.7,200,2,4,9,0.1,"{'subsample': 0.7, 'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 9, 'learning_rate': 0.1}",0.6,0.6551724137931034,0.576271186440678,0.5185185185185185,0.5483870967741935,0.5796698431052987,0.046569515873988034,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.9630018711090087,0.0038284346603807825,0.005146026611328125,0.005058313155456153,0.7,500,5,4,3,0.05,"{'subsample': 0.7, 'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 3, 'learning_rate': 0.05}",0.6229508196721312,0.6557377049180327,0.6229508196721312,0.5,0.5714285714285714,0.5946135831381734,0.05446362289517738,3,0.9927536231884058,0.9927536231884058,0.9890909090909091,0.9890909090909091,0.9891696750902527,0.9905717479297765,0.0017817258413776
0.6837886810302735,0.004160996016789975,0.0035696983337402343,0.00660075168964116,0.7,100,5,2,5,0.01,"{'subsample': 0.7, 'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 5, 'learning_rate': 0.01}",0.24390243902439024,0.2857142857142857,0.37209302325581395,0.2926829268292683,0.2727272727272727,0.29342398951020615,0.04273065322481663,30,0.5291005291005291,0.4725274725274725,0.6824644549763034,0.6169154228855721,0.6274509803921569,0.5856917719764068,0.07495655738974488
3.470494604110718,0.02994639640954819,0.010544300079345703,0.004984571021572794,0.9,300,5,4,7,0.01,"{'subsample': 0.9, 'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 7, 'learning_rate': 0.01}",0.5357142857142857,0.6779661016949152,0.5666666666666667,0.49056603773584906,0.46153846153846156,0.5464903106700356,0.07503790063009314,21,0.9854014598540146,0.9779411764705882,0.9816849816849816,0.9963898916967509,0.9891696750902527,0.9861174369593175,0.006353739095909006
1.1012986183166504,0.008673952194470695,0.001882028579711914,0.0024108991234136337,0.8,100,5,2,7,0.05,"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 7, 'learning_rate': 0.05}",0.576271186440678,0.6451612903225806,0.5423728813559322,0.48148148148148145,0.5,0.5490573679201345,0.058299852410538124,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8.180581283569335,0.893094659584333,0.013379240036010742,0.002877783010413995,1.0,500,10,4,9,0.05,"{'subsample': 1.0, 'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 9, 'learning_rate': 0.05}",0.5333333333333333,0.6557377049180327,0.53125,0.5555555555555556,0.53125,0.5614253187613844,0.04804069040437575,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.4972126960754393,0.04592870882696414,0.006161212921142578,0.006762500951427348,0.7,200,5,4,9,0.01,"{'subsample': 0.7, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 9, 'learning_rate': 0.01}",0.5490196078431373,0.5882352941176471,0.5454545454545454,0.4489795918367347,0.4642857142857143,0.5191949507075557,0.05346188618726865,25,0.9779411764705882,0.9626865671641791,0.9703703703703703,0.9703703703703703,0.9743589743589743,0.9711454917468965,0.0050845419214466045
4.943447685241699,0.11250998732311898,0.011443185806274413,0.003224692179357904,0.9,500,2,2,9,0.1,"{'subsample': 0.9, 'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 9, 'learning_rate': 0.1}",0.5423728813559322,0.6551724137931034,0.5806451612903226,0.5283018867924528,0.5079365079365079,0.5628857702336638,0.05190080072823051,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.380512523651123,0.021514536539621012,0.004148626327514648,0.006485220441343719,1.0,100,2,1,7,0.05,"{'subsample': 1.0, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 7, 'learning_rate': 0.05}",0.5666666666666667,0.631578947368421,0.59375,0.5,0.47058823529411764,0.5525167698658411,0.059365853236404816,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0
