mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.7260986804962157,0.2400949492035031,0.23584556579589844,0.04163839177055515,300,10,2,log2,,False,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'bootstrap': False}",0.5263157894736842,0.6551724137931034,0.5,0.5185185185185185,0.4745762711864407,0.5349165985943494,0.0627127674495599,9,0.9743589743589743,0.9854014598540146,0.9626865671641791,0.974169741697417,0.9743589743589743,0.9741951434867119,0.007184471892295926
1.0094271183013916,0.09133297012392645,0.2719010353088379,0.18581538569955475,100,5,2,sqrt,10,False,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': False}",0.5263157894736842,0.6229508196721312,0.5573770491803278,0.48148148148148145,0.5,0.537625027961525,0.04973182580381901,7,0.9927536231884058,0.9816849816849816,0.9816849816849816,0.9816849816849816,0.9891696750902527,0.9853956486667208,0.004683806419044012
4.041653299331665,0.33542270763409826,0.3256721019744873,0.12027829184251941,500,2,1,log2,5,True,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 5, 'bootstrap': True}",0.23809523809523808,0.425531914893617,0.4074074074074074,0.43478260869565216,0.32653061224489793,0.3664695562673625,0.07470746657505985,28,0.6069651741293532,0.6108374384236454,0.6909090909090909,0.6915887850467289,0.7181818181818181,0.6636964613381273,0.04582505492032578
1.9877923011779786,0.6072937818555795,0.16551947593688965,0.027664337387339474,200,5,4,sqrt,10,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",0.4166666666666667,0.52,0.43636363636363634,0.4489795918367347,0.4074074074074074,0.445883460454889,0.03981834303880606,21,0.8284518828451883,0.8034188034188035,0.8132780082987552,0.8429752066115702,0.8395061728395061,0.8255260148027647,0.01514742404378931
2.205262613296509,0.1473538378186841,0.2435148239135742,0.054368349844089434,300,10,4,log2,5,False,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 5, 'bootstrap': False}",0.23255813953488372,0.40816326530612246,0.42857142857142855,0.391304347826087,0.4230769230769231,0.37673482086308896,0.07324146095095994,26,0.5612244897959183,0.6176470588235294,0.7111111111111111,0.7354260089686099,0.7004608294930875,0.6651738996384513,0.06535294038716889
1.0591744899749755,0.18409809461073773,0.10862236022949219,0.036990147855759624,100,5,1,log2,,True,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}",0.5454545454545454,0.6896551724137931,0.4745762711864407,0.49056603773584906,0.4482758620689655,0.5297055777719187,0.08606258821051442,10,0.9703703703703703,0.9779411764705882,0.9626865671641791,0.966542750929368,0.9928057553956835,0.9740693240660379,0.010639020785056248
2.0208892822265625,0.08458429705849432,0.19392690658569336,0.04771288587903017,300,2,2,sqrt,10,True,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",0.5098039215686274,0.5384615384615384,0.4666666666666667,0.5185185185185185,0.45614035087719296,0.49791819921850883,0.031405263275096684,16,0.9548872180451128,0.9266409266409267,0.9429657794676806,0.946969696969697,0.9552238805970149,0.9453375003440865,0.010457424316271278
3.927511978149414,0.09773966552372375,0.45836334228515624,0.08220426358600078,500,2,2,log2,20,False,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20, 'bootstrap': False}",0.5357142857142857,0.6557377049180327,0.59375,0.49056603773584906,0.5,0.5551536056736335,0.06196483516835336,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.802545213699341,0.2889211081121699,0.47185354232788085,0.2669979157001089,500,5,1,log2,20,True,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20, 'bootstrap': True}",0.5660377358490566,0.6785714285714286,0.5245901639344263,0.5,0.4827586206896552,0.5503915898089133,0.06993442265952705,3,0.9854014598540146,0.9816849816849816,0.966542750929368,0.9779411764705882,0.996415770609319,0.9815972279096543,0.009737279686117956
1.783590269088745,0.2063435174477088,0.1732663631439209,0.04998876107235304,200,10,4,log2,15,True,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 15, 'bootstrap': True}",0.40816326530612246,0.52,0.42857142857142855,0.48,0.4074074074074074,0.44882842025699166,0.044309732546253824,20,0.8135593220338984,0.7410714285714286,0.8181818181818182,0.8135593220338984,0.810126582278481,0.7992996946199049,0.029226566687049493
2.535928821563721,0.128722156883284,0.22117748260498046,0.05309570421485981,300,2,2,sqrt,10,False,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': False}",0.509090909090909,0.5862068965517241,0.5483870967741935,0.5185185185185185,0.4745762711864407,0.5273559384243571,0.03769124422179245,12,1.0,0.9854014598540146,0.9816849816849816,0.9927536231884058,0.9928057553956835,0.9905291640246171,0.006392819913507938
3.242921781539917,0.3711000336935437,0.3524989128112793,0.11452060222288993,500,5,1,sqrt,5,False,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 5, 'bootstrap': False}",0.23809523809523808,0.44,0.42105263157894735,0.34782608695652173,0.4074074074074074,0.3708762728076229,0.07320163206203023,27,0.6407766990291263,0.676056338028169,0.7932489451476793,0.7555555555555555,0.7577092511013216,0.7246693577723704,0.05683301056414074
1.8496610641479492,0.5933741410482545,0.18004589080810546,0.060851324768170525,200,10,4,sqrt,5,True,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 5, 'bootstrap': True}",0.23255813953488372,0.425531914893617,0.43636363636363634,0.4,0.32653061224489793,0.364196860607407,0.07615693842195007,29,0.5656565656565656,0.5360824742268041,0.6511627906976745,0.6442307692307693,0.6944444444444444,0.6183154088512517,0.05844894483507086
2.1325372219085694,0.32354139533555804,0.44340953826904295,0.17555206955034067,300,2,1,log2,,False,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'bootstrap': False}",0.5714285714285714,0.6557377049180327,0.5714285714285714,0.5185185185185185,0.5,0.5634226732587388,0.054201609713155734,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
